project_name,LoC,Depends-time,Depends-memory,ENRE-time,ENRE-memory,SourceTrail-time,SourceTrail-memory,Understand-time,Understand-memory,stars
terminal,293664,53.20023322,1059.496094,14.89383602,696.6171875,146.3528633,1725.398438,31.91716552,355.1054688,82230
bitcoin,191213,63.27272344,973.9492188,16.79082441,543.7382813,129.1031935,919.8359375,12.27741313,202.0585938,63264
opencv,1082393,277.3907707,2070.964844,54.84923363,982.1835938,470.200038,1487.425781,150.1747699,1309.59375,60849
swift,916069,282.100405,3025.207031,52.64262581,1503.433594,173.5407374,730.640625,46.63491583,751.078125,59229
pytorch,1037310,202.9425085,1492.046875,58.58826327,1024.554688,680.1570354,1832.578125,59.99514937,862.671875,55233
godot,1734170,558.4394689,3228.722656,81.99363613,2113.96875,732.9815319,3644.957031,113.9782972,1899.082031,48074
tesseract,158265,41.11192966,491.9375,9.310426712,520.9960938,70.50676227,727.046875,8.202434063,139.3046875,44706
x64dbg,125099,37.84887314,526.546875,8.629618168,534.84375,56.53565979,1748.292969,6.216369629,102.1484375,38356
caffe,61299,10.96331978,411.0234375,5.157183409,465.1875,21.26037645,658.3789063,4.17700696,72.921875,32389
json,76783,10.21741843,296.8203125,5.689096451,506.9453125,67.50446486,780.5859375,5.289652348,67.8828125,29536
Magisk,18132,9.015129566,315.3476563,3.323096752,347.5976563,10.09733987,521.9804688,2.239924192,83.90234375,25211
calculator,37536,9.550650835,430.5742188,3.614649057,489.9140625,16.20496655,1585.628906,3.10423398,53.42578125,24096
openpose,46669,9.247357368,360.1015625,5.16096139,429.265625,16.17630816,360.125,3.346532345,45.73828125,23877
ClickHouse,701543,82.47096181,1403.449219,49.61453342,681.6015625,415.6220672,669.7382813,42.55043721,553.4453125,23088
folly,344383,36.22336292,503.3828125,17.55219364,562.296875,252.4118369,2188.09375,17.09031534,234.7226563,21675
mongo,4021485,714.877037,3010.039063,390.4250495,3368.722656,1376.601713,1162.132813,474.8906107,5368.171875,21441
CPlusPlusThings,9545,7.770158052,338.5390625,3.777072668,321.8046875,14.42952299,774.5351563,12.38708711,33.67578125,20090
RedisDesktopManager,10722,5.666486025,312.9101563,2.438456059,284.7890625,10.1188004,465.5390625,3.406667948,58.32421875,20018
yuzu,319550,168.2684495,880.1445313,20.18665361,918.2148438,77.81509185,816.046875,13.83333397,238.4765625,19771
serenity,576458,143.0323074,994.6445313,46.15806961,898.2578125,581.9109325,1234.726563,40.8210845,661.6171875,19116
C-Plus-Plus,27832,14.06814003,426.71875,4.850154638,383.0664063,39.45409966,885.8632813,3.768210888,47.5234375,18960
osquery,172657,34.75005794,491.3554688,15.31635213,561.3007813,157.6518505,1489.449219,13.04547954,141.40625,18795
fish-shell,55918,25.66301918,793.0976563,6.795478344,503.0625,18.34265995,927.90625,4.329892635,76.7890625,18705
taichi,115912,18.86075354,518.9140625,7.961429358,504.8867188,35.4031167,1796.953125,6.303832769,103.4335938,18658
tdesktop,401706,36.34339094,552.4765625,16.18847942,571.6953125,87.9478817,466.7421875,17.13245273,309.2421875,18523
weex,272340,23.52389979,514.0039063,21.3462472,603.4726563,92.59725857,563.84375,29.24714661,319.8046875,17859
srs,251941,185.0387893,2009.398438,33.20791197,1024.273438,66.7672565,1504.242188,34.81135106,489.2109375,17755
TrafficMonitor,21594,9.17515564,320.7734375,2.994970322,318.6132813,13.12403083,827.1289063,2.95760107,91.84765625,17184
CNTK,195054,147.280314,881.453125,13.66718245,572.6835938,125.994581,1180.847656,15.6212225,186.8515625,17146
flameshot,26132,10.90154386,346.3203125,3.738521814,382.4882813,20.20095706,389.6953125,6.208544731,48.1484375,17039
aseprite,157383,38.30743742,490.6367188,14.41384983,538.453125,113.7985113,551.5898438,20.59071398,176.4921875,17024
Proton,344999,162.5701513,2841.828125,30.48290658,1525.332031,129.2205966,949.1679688,54.17085195,798.7304688,16823
winget-cli,217285,35.93018556,628.7304688,13.31750011,593.1289063,76.55016851,1370.007813,34.98320603,338.75,16680
faiss,51608,14.2908566,430.125,5.42538929,426.03125,32.31432247,947.0703125,5.203918457,72.109375,16663
sqlitebrowser,127927,36.49341583,602.2539063,8.054977894,548.5859375,29.33140612,730.3320313,5.927051544,91.96875,16304
mars,546123,68.09344673,694.9296875,45.34051681,1943.410156,77.63303447,1074.179688,72.15385079,716.1835938,16090
CnC_Remastered_Collection,295096,56.7806952,552.6992188,11.63243151,530.5664063,133.3005631,1665.464844,18.02823234,155.4921875,16039
cocos2d-x,525819,113.6256602,857.6953125,22.1847713,740.1796875,134.2365789,534.4921875,32.99049449,336.2070313,16030
simdjson,70407,15.55740428,506.1953125,6.429950714,513.8007813,23.2839148,725.734375,4.474221706,85.67578125,15446
qBittorrent,57718,19.24061966,507.5273438,5.746822119,439.2070313,23.27809238,572.4257813,4.390491724,56.015625,15298
yoga,32784,6.467371225,282.1601563,3.397341728,351.1601563,16.17381525,658.8476563,2.707092285,61.828125,15112
Catch2,42412,10.93858194,520.1367188,4.912881613,440.9804688,24.27508593,623.953125,4.338008642,82.53125,14757
react-native-windows,123887,28.38764286,594.46875,11.53403592,535.40625,168.1940997,1087.453125,9.49911952,109.3476563,14655
Karabiner-Elements,204752,3.616764307,191.5585938,18.6862371,582.859375,12.15401649,434.78125,15.90981984,149.453125,14415
ncnn,416407,91.81300569,887.8203125,16.97813606,633.3320313,-1,546.8085938,15.19542599,161.8085938,14241
incubator-weex,272227,22.18248582,500.0351563,20.53574896,620.3359375,87.68278527,598.9414063,25.28948903,317.9570313,13960
Arduino,6669,4.341919661,260.2578125,1.883284807,284.0742188,7.10162878,416.3125,1.793769121,28.62109375,13936
dogecoin,114286,40.13111377,575.7265625,9.488514662,516.1601563,60.64437437,822.9648438,6.830281258,114.1367188,13891
filament,1365626,328.5206628,2857.941406,72.18705654,1550.890625,563.8664558,1039.3125,117.9245367,1590.828125,13785
xbmc,705352,233.1685684,1820.742188,44.75359821,1335.085938,482.3569129,958.3476563,40.3355639,544.9375,13651
LightGBM,37766,12.02109957,446.2851563,4.491320848,373.2851563,9.235968828,662.7070313,2.5301826,82.48828125,13658
Qv2ray,35812,3.237169981,245.4492188,2.12187171,264.9179688,158.1827528,446.4570313,2.828329325,40.88671875,13424
incubator-brpc,184306,33.80646229,525.1523438,12.76068997,563.0039063,131.9107237,618.5976563,9.466008902,163.0078125,13036
cosmos,50651,26.30387259,503.5625,10.20195627,527.171875,74.81195903,1083.332031,6.846353531,81.69140625,13005
AirSim,105731,18.68074322,537.4921875,8.357464314,557.265625,19.25763106,619.3867188,4.800910473,93.06640625,12940
Marlin,271983,26.33216739,822.9453125,16.17321658,607.0039063,87.99566722,1197.949219,15.56087232,75.68359375,12872
keepassxc,109445,102.5914595,1183.296875,8.687068701,614.6914063,57.39987111,405.6171875,6.770267963,71.52734375,12661
Sourcetrail,122699,49.7220664,824.703125,14.37056899,772.6640625,94.76475906,730.40625,10.27146578,143.5,12572
ImHex,128901,172.1318154,2806.898438,10.55744982,1191.210938,14.18691802,641.2304688,5.286766052,124.7929688,12521
arangodb,5641819,804.1988447,8596.664063,503.6591978,2144.617188,2184.901583,895.1835938,623.0080528,6733.613281,12212
rapidjson,28455,5.90819478,310.8554688,2.851233482,367.1875,9.112014294,608.90625,3.911926746,65.80859375,11914
eos,149118,29.60719252,528.7539063,9.134945869,572.796875,109.7803628,509.6054688,9.343270063,148.7695313,11341
bgfx,661650,213.342782,1874.984375,21.86387539,1075.582031,68.56560826,729.609375,19.09829521,380.0859375,11293
foundationdb,319315,84.68591523,725.2382813,20.20932198,885.1796875,149.5396028,1795.824219,11.70915532,265.2578125,11210
cutter,40593,14.09238672,464.9570313,5.182621717,435.4023438,19.25457335,537.8359375,2.443066835,46.16796875,11173
BackgroundMusic,20100,8.576261282,358.015625,3.3320086,347.6054688,9.137425661,482.0625,2.203637838,42.96875,11226
FreeCAD,838910,256.8825312,2277.777344,51.9446342,1172.28125,443.3166907,944.7617188,33.48818612,721.4882813,11092
dlib,332861,111.4165099,1208.679688,23.28455377,704.0273438,289.8356559,0,13.44828129,334.1914063,11059
rpcs3,376103,101.9251566,1309.890625,19.86676145,729.7773438,112.6022522,1173.941406,10.84998751,252.3320313,10942
watchman,34311,10.13222075,365.6914063,4.114343405,490.609375,23.2757616,1059.445313,2.031058788,40.7890625,10793
turicreate,4202930,1261.25013,8610.90625,920.2907917,4507.878906,3843.445593,1569.140625,963.374146,8481.855469,10658
OpenRCT2,626568,267.5137689,6081.277344,44.8799696,1117.953125,144.6947618,1230.707031,16.54871058,394.5585938,10381
openalpr,49571,14.48267555,500.5703125,5.150653362,443.5625,18.21985388,679.390625,2.320990801,82.00390625,10391
polybar,23233,7.412196398,263.3476563,3.693706036,384.3320313,14.17611885,495.6484375,2.565261602,52.3984375,10196
matrix,162453,50.26938725,676.3867188,16.66290402,555,91.90744185,1331.019531,10.00238323,171.9492188,9741
arrow,488147,98.3374896,1382.921875,30.70744562,834.359375,182.386416,735.4179688,19.3152585,501.7226563,9343
typesense,57470,8.360599995,325.1953125,4.138967037,487.875,9.149370432,1190.824219,2.271702528,52.17578125,9529
TranslucentTB,12541,5.069084167,431.7890625,2.494776726,216.7539063,10.14607811,985.1992188,1.701838732,85.6484375,9268
bullet3,1340347,224.7617545,1289.164063,34.45814729,1079.019531,186.7257202,915.234375,20.14689493,536.5351563,9146
Atmosphere,272894,91.88616109,924.0078125,32.05746102,694.2851563,125.4577663,458.7460938,80.61411428,366.3632813,9056
thrift,101421,35.90212607,589.796875,10.70456815,584.078125,30.33099961,715.234375,5.051939964,117.03125,8998
sonic-pi,1315390,286.9184408,1824.273438,181.7982686,2480.8125,279.4506819,1487.601563,142.2642169,1540.78125,8986
napajs,31373,5.752835751,315.6523438,5.989551544,398.3945313,12.13733578,624.8945313,2.763323069,70.7265625,8958
robomongo,208034,55.98100805,565.0546875,14.74644947,547.2929688,88.6401248,385.7382813,16.12236285,316.8007813,8886
synergy-core,62477,15.58646131,456.5039063,7.021999598,483.4453125,32.37538433,585.046875,3.761379242,58.83203125,8859
openFrameworks,124155,100.067054,2317.269531,15.01955938,764.9960938,82.82243657,639.5664063,6.630845308,116.03125,8818
fprime,55808,16.81590724,458.4335938,8.485481977,485.2148438,63.62765956,505.6171875,3.552373171,52.83984375,8807
chineseocr_lite,13565,12.49794888,396.8320313,3.776307106,425.71875,9.117428303,526.1132813,2.195607901,54.5234375,8776
tiled,116576,40.06114817,740.578125,9.921364307,508.6289063,73.64896417,631.4140625,4.546058178,99.41015625,8664
WLED,45149,16.29978037,500.21875,4.859025955,445.6015625,13.16942334,966.71875,2.29345417,59.62890625,8631
ZeroTierOne,87213,39.91318536,692.9765625,9.929392815,558.2617188,25.37468386,2073.011719,5.07359004,101.5585938,8518
dolphin,881279,224.5167384,1682.5,44.90517235,1237.007813,276.0703857,1480.550781,32.72949886,655.4765625,8358
devilution,110032,32.63636565,517.4921875,5.810771465,464.6328125,22.24375701,1442.304688,2.672428608,73.6328125,8295
node-sass,31156,14.68744445,542.78125,4.951567173,434.5585938,14.20423627,888.53125,2.112827778,57.20703125,8102
dxvk,121379,62.07344508,892.7226563,8.177089453,544.3984375,58.73620725,2015.035156,4.017532349,88.4296875,7714
assimp,278050,69.68893337,1072.734375,19.07642388,713.4882813,136.9962747,1148.582031,19.4070766,348.515625,7694
libzmq,57559,17.70732021,479.6875,6.30409646,474.734375,48.60123277,1542.976563,2.99265027,74.85546875,7684
ConEmu,252957,74.64899683,995.7890625,13.95012331,656.671875,85.12520528,1855.3125,6.860253811,148.5976563,7660
SFML,91987,11.33145761,492.25,7.488249063,538.3085938,28.36689281,603.3164063,5.02976799,98.02734375,7596
nodegui,30274,10.57737947,330.625,4.792598248,503.1679688,16.18767214,396.5507813,5.779852152,123.875,7587
