project_name,LoC,Depends-time,Depends-memory,ENRE-time,ENRE-memory,SourceTrail-time,SourceTrail-memory,Understand-time,Understand-memory
java-design-patterns,41503,15.91153789,486.3203125,5.994440317,484.7226563,187.1422946,676.59375,21.54600501,676.6484375
spring-boot,352701,116.1035223,1152.777344,26.72081208,3448.433594,1211.74306,2743.0625,56.3589344,1637.804688
mall,65235,24.75002766,491.5234375,6.710150719,1144.65625,70.78904629,1141.554688,10.56052136,503.3085938
RxJava,313836,105.4900985,716.4375,31.57685804,3064.273438,376.0269198,4718.90625,31.62759376,2785.722656
guava,362944,206.7060418,1482.21875,22.8253243,2765.414063,653.7626994,2482.898438,36.11405993,1893.988281
MPAndroidChart,25232,10.39901567,526.5703125,4.539554596,606.7421875,31.36297917,805.8164063,7.799973965,376.5703125
lottie-android,17035,7.360745668,476.4375,3.161073923,544.5195313,28.3141396,585.0585938,7.290754795,372.15625
glide,78050,24.07857227,474.96875,7.347441673,999.828125,107.0077164,1067.464844,13.24624848,800.875
AndroidUtilCode,39083,14.91539383,555.4140625,4.776054859,660.2148438,41.47796297,878.6796875,9.286195755,546.3867188
jadx,101566,32.34693384,562.1367188,8.844003916,1506.5,171.5262651,1008.453125,17.0886693,826.421875
zxing,46958,19.01959825,496.3242188,8.143081427,735.78125,69.75903606,551.8125,11.46418214,574.5703125
netty,316410,103.7093279,868.9453125,28.35027027,3232.195313,499.2100506,2230.632813,30.46615052,1120.199219
arthas,44188,16.02964473,524.9570313,5.649968147,758.0078125,78.78607011,579.65625,11.94271183,707.09375
JCSprout,4194,2.730249643,368.0429688,1.732971907,246.1679688,15.21607757,311.0429688,6.447192192,379.5585938
apollo,57360,19.98428631,471.25,7.339631796,936.9257813,121.0620618,587.1054688,13.61438656,645.6367188
dbeaver,447191,125.6047914,1393.714844,32.01317072,3618.730469,887.0838177,2481.414063,46.69622636,1743.90625
druid,379113,112.7788236,819.7226563,23.68680835,3471.328125,873.9530704,2453.226563,44.85343575,1047.097656
spring-boot-demo,11959,5.922839165,486.8945313,2.71222496,391.3398438,59.56152439,506.6132813,9.112294197,482.8125
miaosha,9835,5.033353329,507.25,2.113698721,373.0703125,36.3661716,403.9609375,8.378227234,412.0234375
fastjson,187005,60.16746902,739.4765625,13.19312,2328.546875,14.16884184,217.296875,15.86459398,100.0351563
EventBus,5038,2.948184252,309.9179688,1.501028776,200.1953125,18.2342813,377.5429688,6.679154396,406.0273438
vhr,3732,2.470862389,383.1640625,1.312727213,181.5195313,17.20057225,273.9335938,7.367147923,374.5078125
SmartRefreshLayout,19696,7.92186904,472.1601563,3.341012001,561.75,39.42658424,758.1054688,7.445577383,344.8632813
selenium,116570,37.39386106,522.3242188,9.657148838,1603.367188,290.1179302,1315.414063,20.20422578,866.953125
SpringAll,11664,7.1667099,476.0546875,3.018191338,325.3359375,94.88757229,482.0039063,11.18563199,520.296875
easyexcel,25124,8.957966805,479.09375,3.44649601,511.9765625,76.75613427,445.3007813,9.019819736,452.1484375
