project_name,LoC,Depends-time,Depends-memory,ENRE-time,ENRE-memory,SourceTrail-time,SourceTrail-memory,Understand-time,Understand-memory
freeCodeCamp,54729,0,0,6.89648509,179.8945313,0,0,5.405613184,85.64453125
vue,62498,0,0,3.187277317,185.109375,0,0,3.126220942,80.73828125
vscode,894956,0,0,45.57011795,883.8320313,0,0,37.80232787,848.6015625
angular,490636,0,0,29.46565104,330.28125,0,0,40.12107706,485.9765625
code-server,6970,0,0,0.665405035,86.8515625,0,0,2.004962921,83.234375
echarts,360598,0,0,22.76625967,1458.3125,0,0,29.84788656,521.1757813
grafana,469108,0,0,397.7226043,599.4882813,0,0,20.59254217,474.2890625
nest,66755,0,0,11.84346986,174.3203125,0,0,4.707142591,101.5
superset,209563,0,0,53.23545027,460.40625,0,0,9.51936698,186.7460938
vite,38145,0,0,3.207624435,154.1210938,0,0,2.151771069,35.40625
babel,205837,0,0,57.51653314,349.0273438,0,0,22.1738987,101.8046875
playwright,252367,0,0,55.82069683,670.9453125,0,0,12.09366202,313.90625
DefinitelyTyped,2616325,0,0,317.8189218,1053.808594,0,0,252.6391294,1479.152344
jest,103124,0,0,15.73788333,235.3632813,0,0,5.111411572,96.6171875
hyper,112574,0,0,4.995774984,741.359375,0,0,4.889838457,299.8046875
styled-components,12257,0,0,1.819638729,93.88671875,0,0,1.577774763,83.65625
pixijs,56648,0,0,6.656708479,171.921875,0,0,3.263521671,86.234375
docusaurus,65939,0,0,8.63004303,169.4570313,0,0,4.268455982,83.0625
tabby,21473,0,0,3.005911112,183.2578125,0,0,2.355098248,60.921875
supabase,97803,0,0,17.80587459,190.390625,0,0,6.128592253,108.3867188
vuetify,67657,0,0,10.99203897,165.3476563,0,0,3.850608349,85.41796875
Rocket.Chat,308598,0,0,402.0292575,447.171875,0,0,19.22070241,363.6875
ant-design-pro,5314,0,0,1.011287689,57.72265625,0,0,1.246832132,83.21875
immutable-js,18703,0,0,2.3027215,113.625,0,0,1.776215553,81.1875
core,0,0,0,4.723237038,70.6484375,0,0,1.74031353,27.60546875
taro,136618,0,0,39.73461628,421.7148438,0,0,7.119247198,131.53125
nativefier,7499,0,0,1.000525236,60.2578125,0,0,1.274323225,28.54296875
react-use,13502,0,0,3.069430351,111.4882813,0,0,1.831540585,37.4921875
react-hook-form,43589,0,0,4.087026596,142.9921875,0,0,2.313045979,52.93359375
date-fns,69221,0,0,15.19069648,166.6835938,0,0,4.132709503,84.20703125
nocodb,128577,0,0,11.03759527,246.46875,0,0,5.277575731,110.546875
query,29202,0,0,2.978103161,123.2617188,0,0,2.039715528,42.45703125
typeorm,160942,0,0,42.75021601,243.0234375,0,0,9.1003654,138.6757813
chakra-ui,48333,0,0,8.911962509,153.7148438,0,0,3.264644861,83.5859375
rxjs,80805,0,0,10.23801112,260.3320313,0,0,5.016226768,106.1992188
html2canvas,11381,0,0,1.772991657,95.87890625,0,0,2.567353964,83.51171875
