project name,stars,github url,clone url
micropython/micropython,17095,https://github.com/micropython/micropython,https://github.com/micropython/micropython.git
timescale/timescaledb,15397,https://github.com/timescale/timescaledb,https://github.com/timescale/timescaledb.git
raysan5/raylib,14455,https://github.com/raysan5/raylib,https://github.com/raysan5/raylib.git
imbushuo/mac-precision-touchpad,7700,https://github.com/imbushuo/mac-precision-touchpad,https://github.com/imbushuo/mac-precision-touchpad.git
jerryscript-project/jerryscript,6656,https://github.com/jerryscript-project/jerryscript,https://github.com/jerryscript-project/jerryscript.git
wasm3/wasm3,6273,https://github.com/wasm3/wasm3,https://github.com/wasm3/wasm3.git
ithewei/libhv,5747,https://github.com/ithewei/libhv,https://github.com/ithewei/libhv.git
littlefs-project/littlefs,4138,https://github.com/littlefs-project/littlefs,https://github.com/littlefs-project/littlefs.git
bytecodealliance/wasm-micro-runtime,3956,https://github.com/bytecodealliance/wasm-micro-runtime,https://github.com/bytecodealliance/wasm-micro-runtime.git
hathach/tinyusb,3933,https://github.com/hathach/tinyusb,https://github.com/hathach/tinyusb.git
stlink-org/stlink,3870,https://github.com/stlink-org/stlink,https://github.com/stlink-org/stlink.git
nanopb/nanopb,3677,https://github.com/nanopb/nanopb,https://github.com/nanopb/nanopb.git
gozfree/gear-lib,2724,https://github.com/gozfree/gear-lib,https://github.com/gozfree/gear-lib.git
containers/crun,2464,https://github.com/containers/crun,https://github.com/containers/crun.git
cesanta/mongoose-os,2413,https://github.com/cesanta/mongoose-os,https://github.com/cesanta/mongoose-os.git
InfiniTimeOrg/InfiniTime,2286,https://github.com/InfiniTimeOrg/InfiniTime,https://github.com/InfiniTimeOrg/InfiniTime.git
dgiese/dustcloud,2159,https://github.com/dgiese/dustcloud,https://github.com/dgiese/dustcloud.git
ARMmbed/DAPLink,1920,https://github.com/ARMmbed/DAPLink,https://github.com/ARMmbed/DAPLink.git
symisc/unqlite,1913,https://github.com/symisc/unqlite,https://github.com/symisc/unqlite.git
zmkfirmware/zmk,1798,https://github.com/zmkfirmware/zmk,https://github.com/zmkfirmware/zmk.git
greatscottgadgets/ubertooth,1790,https://github.com/greatscottgadgets/ubertooth,https://github.com/greatscottgadgets/ubertooth.git
armink/EasyFlash,1766,https://github.com/armink/EasyFlash,https://github.com/armink/EasyFlash.git
cesanta/mjs,1764,https://github.com/cesanta/mjs,https://github.com/cesanta/mjs.git
EHfive/pulseaudio-modules-bt,1746,https://github.com/EHfive/pulseaudio-modules-bt,https://github.com/EHfive/pulseaudio-modules-bt.git
azure-rtos/threadx,1736,https://github.com/azure-rtos/threadx,https://github.com/azure-rtos/threadx.git
eclipse/paho.mqtt.c,1680,https://github.com/eclipse/paho.mqtt.c,https://github.com/eclipse/paho.mqtt.c.git
symisc/sod,1667,https://github.com/symisc/sod,https://github.com/symisc/sod.git
positive-security/send-my,1641,https://github.com/positive-security/send-my,https://github.com/positive-security/send-my.git
sqfmi/Watchy,1624,https://github.com/sqfmi/Watchy,https://github.com/sqfmi/Watchy.git
rbaron/b-parasite,1546,https://github.com/rbaron/b-parasite,https://github.com/rbaron/b-parasite.git
cesanta/elk,1518,https://github.com/cesanta/elk,https://github.com/cesanta/elk.git
tio/tio,1417,https://github.com/tio/tio,https://github.com/tio/tio.git
pellepl/spiffs,1400,https://github.com/pellepl/spiffs,https://github.com/pellepl/spiffs.git
jakkra/ZSWatch,1399,https://github.com/jakkra/ZSWatch,https://github.com/jakkra/ZSWatch.git
Softmotions/ejdb,1390,https://github.com/Softmotions/ejdb,https://github.com/Softmotions/ejdb.git
SpenceKonde/ATTinyCore,1386,https://github.com/SpenceKonde/ATTinyCore,https://github.com/SpenceKonde/ATTinyCore.git
