project name,stars,github url,clone url
zephyrproject-rtos/zephyr,0,https://github.com/zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr.git
nanopb/nanopb,0,https://github.com/nanopb/nanopb,https://github.com/nanopb/nanopb.git
gozfree/gear-lib,0,https://github.com/gozfree/gear-lib,https://github.com/gozfree/gear-lib.git
QuantumLeaps/qpc,0,https://github.com/QuantumLeaps/qpc,https://github.com/QuantumLeaps/qpc.git
mudita/MuditaOS,0,https://github.com/mudita/MuditaOS,https://github.com/mudita/MuditaOS.git
charlesnicholson/nanoprintf,0,https://github.com/charlesnicholson/nanoprintf,https://github.com/charlesnicholson/nanoprintf.git
Yellow-Camper/libevhtp,0,https://github.com/Yellow-Camper/libevhtp,https://github.com/Yellow-Camper/libevhtp.git
Softmotions/iowow,0,https://github.com/Softmotions/iowow,https://github.com/Softmotions/iowow.git
QuantumLeaps/qpcpp,0,https://github.com/QuantumLeaps/qpcpp,https://github.com/QuantumLeaps/qpcpp.git
QuantumLeaps/modern-embedded-programming-course,0,https://github.com/QuantumLeaps/modern-embedded-programming-course,https://github.com/QuantumLeaps/modern-embedded-programming-course.git
insane-adding-machines/frosted,0,https://github.com/insane-adding-machines/frosted,https://github.com/insane-adding-machines/frosted.git
bharathsudharsan/TinyML-CAM,0,https://github.com/bharathsudharsan/TinyML-CAM,https://github.com/bharathsudharsan/TinyML-CAM.git
PaulKlinger/tinypc,0,https://github.com/PaulKlinger/tinypc,https://github.com/PaulKlinger/tinypc.git
amosnier/sha-2,0,https://github.com/amosnier/sha-2,https://github.com/amosnier/sha-2.git
QuantumLeaps/qpn,0,https://github.com/QuantumLeaps/qpn,https://github.com/QuantumLeaps/qpn.git
mateustoin/Roadmap-to-Embedded-Engineering,0,https://github.com/mateustoin/Roadmap-to-Embedded-Engineering,https://github.com/mateustoin/Roadmap-to-Embedded-Engineering.git
mnemocron/STM32-Tutorial,0,https://github.com/mnemocron/STM32-Tutorial,https://github.com/mnemocron/STM32-Tutorial.git
lupyuen/stm32bluepill-mynewt-sensor,0,https://github.com/lupyuen/stm32bluepill-mynewt-sensor,https://github.com/lupyuen/stm32bluepill-mynewt-sensor.git
franzflasch/riscv_em,0,https://github.com/franzflasch/riscv_em,https://github.com/franzflasch/riscv_em.git
debevv/nanoMODBUS,0,https://github.com/debevv/nanoMODBUS,https://github.com/debevv/nanoMODBUS.git
QuantumLeaps/lock-free-ring-buffer,0,https://github.com/QuantumLeaps/lock-free-ring-buffer,https://github.com/QuantumLeaps/lock-free-ring-buffer.git
LanguidSmartass/mdb-arduino-cashless,0,https://github.com/LanguidSmartass/mdb-arduino-cashless,https://github.com/LanguidSmartass/mdb-arduino-cashless.git
nagelkl/clion_embedded,0,https://github.com/nagelkl/clion_embedded,https://github.com/nagelkl/clion_embedded.git
tock/libtock-c,0,https://github.com/tock/libtock-c,https://github.com/tock/libtock-c.git
swedishembedded/control,0,https://github.com/swedishembedded/control,https://github.com/swedishembedded/control.git
YashBansod/ARM-TM4C-CCS,0,https://github.com/YashBansod/ARM-TM4C-CCS,https://github.com/YashBansod/ARM-TM4C-CCS.git
accabog/MedianFilter,0,https://github.com/accabog/MedianFilter,https://github.com/accabog/MedianFilter.git
tsoding/jim,0,https://github.com/tsoding/jim,https://github.com/tsoding/jim.git
JingoC/terminal,0,https://github.com/JingoC/terminal,https://github.com/JingoC/terminal.git
electricui/electricui-embedded,0,https://github.com/electricui/electricui-embedded,https://github.com/electricui/electricui-embedded.git
