project name,stars,github url,clone url
microsoft/terminal,82230,https://github.com/microsoft/terminal,https://github.com/microsoft/terminal.git
bitcoin/bitcoin,63264,https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin.git
opencv/opencv,60849,https://github.com/opencv/opencv,https://github.com/opencv/opencv.git
apple/swift,59229,https://github.com/apple/swift,https://github.com/apple/swift.git
pytorch/pytorch,55233,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch.git
godotengine/godot,48074,https://github.com/godotengine/godot,https://github.com/godotengine/godot.git
tesseract-ocr/tesseract,44706,https://github.com/tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract.git
x64dbg/x64dbg,38356,https://github.com/x64dbg/x64dbg,https://github.com/x64dbg/x64dbg.git
BVLC/caffe,32389,https://github.com/BVLC/caffe,https://github.com/BVLC/caffe.git
nlohmann/json,29536,https://github.com/nlohmann/json,https://github.com/nlohmann/json.git
topjohnwu/Magisk,25211,https://github.com/topjohnwu/Magisk,https://github.com/topjohnwu/Magisk.git
microsoft/calculator,24096,https://github.com/microsoft/calculator,https://github.com/microsoft/calculator.git
CMU-Perceptual-Computing-Lab/openpose,23877,https://github.com/CMU-Perceptual-Computing-Lab/openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose.git
ClickHouse/ClickHouse,23088,https://github.com/ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse.git
facebook/folly,21675,https://github.com/facebook/folly,https://github.com/facebook/folly.git
mongodb/mongo,21441,https://github.com/mongodb/mongo,https://github.com/mongodb/mongo.git
Light-City/CPlusPlusThings,20090,https://github.com/Light-City/CPlusPlusThings.git,
uglide/RedisDesktopManager,20018,https://github.com/uglide/RedisDesktopManager,https://github.com/uglide/RedisDesktopManager.git
yuzu-emu/yuzu,19771,https://github.com/yuzu-emu/yuzu,https://github.com/yuzu-emu/yuzu.git
SerenityOS/serenity,19116,https://github.com/SerenityOS/serenity,https://github.com/SerenityOS/serenity.git
TheAlgorithms/C-Plus-Plus,18960,https://github.com/TheAlgorithms/C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus.git
osquery/osquery,18795,https://github.com/osquery/osquery,https://github.com/osquery/osquery.git
fish-shell/fish-shell,18705,https://github.com/fish-shell/fish-shell,https://github.com/fish-shell/fish-shell.git
taichi-dev/taichi,18658,https://github.com/taichi-dev/taichi,https://github.com/taichi-dev/taichi.git
telegramdesktop/tdesktop,18523,https://github.com/telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop.git
alibaba/weex,17859,https://github.com/alibaba/weex,https://github.com/alibaba/weex.git
ossrs/srs,17755,https://github.com/ossrs/srs,https://github.com/ossrs/srs.git
zhongyang219/TrafficMonitor,17184,https://github.com/zhongyang219/TrafficMonitor.git,
microsoft/CNTK,17146,https://github.com/microsoft/CNTK,https://github.com/microsoft/CNTK.git
flameshot-org/flameshot,17039,https://github.com/flameshot-org/flameshot,https://github.com/flameshot-org/flameshot.git
aseprite/aseprite,17024,https://github.com/aseprite/aseprite,https://github.com/aseprite/aseprite.git
ValveSoftware/Proton,16823,https://github.com/ValveSoftware/Proton,https://github.com/ValveSoftware/Proton.git
microsoft/winget-cli,16680,https://github.com/microsoft/winget-cli,https://github.com/microsoft/winget-cli.git
facebookresearch/faiss,16663,https://github.com/facebookresearch/faiss,https://github.com/facebookresearch/faiss.git
sqlitebrowser/sqlitebrowser,16304,https://github.com/sqlitebrowser/sqlitebrowser,https://github.com/sqlitebrowser/sqlitebrowser.git
Tencent/mars,16090,https://github.com/Tencent/mars,https://github.com/Tencent/mars.git
electronicarts/CnC_Remastered_Collection,16039,https://github.com/electronicarts/CnC_Remastered_Collection,https://github.com/electronicarts/CnC_Remastered_Collection.git
cocos2d/cocos2d-x,16030,https://github.com/cocos2d/cocos2d-x,https://github.com/cocos2d/cocos2d-x.git
simdjson/simdjson,15446,https://github.com/simdjson/simdjson,https://github.com/simdjson/simdjson.git
qbittorrent/qBittorrent,15298,https://github.com/qbittorrent/qBittorrent,https://github.com/qbittorrent/qBittorrent.git
facebook/yoga,15112,https://github.com/facebook/yoga,https://github.com/facebook/yoga.git
catchorg/Catch2,14757,https://github.com/catchorg/Catch2,https://github.com/catchorg/Catch2.git
microsoft/react-native-windows,14655,https://github.com/microsoft/react-native-windows,https://github.com/microsoft/react-native-windows.git
pqrs-org/Karabiner-Elements,14415,https://github.com/pqrs-org/Karabiner-Elements,https://github.com/pqrs-org/Karabiner-Elements.git
Tencent/ncnn,14241,https://github.com/Tencent/ncnn,https://github.com/Tencent/ncnn.git
apache/incubator-weex,13960,https://github.com/apache/incubator-weex,https://github.com/apache/incubator-weex.git
esp8266/Arduino,13936,https://github.com/esp8266/Arduino,https://github.com/esp8266/Arduino.git
dogecoin/dogecoin,13891,https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin.git
google/filament,13785,https://github.com/google/filament,https://github.com/google/filament.git
xbmc/xbmc,13651,https://github.com/xbmc/xbmc,https://github.com/xbmc/xbmc.git
microsoft/LightGBM,13658,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM.git
Qv2ray/Qv2ray,13424,https://github.com/Qv2ray/Qv2ray,https://github.com/Qv2ray/Qv2ray.git
apache/incubator-brpc,13036,https://github.com/apache/incubator-brpc,https://github.com/apache/incubator-brpc.git
OpenGenus/cosmos,13005,https://github.com/OpenGenus/cosmos,https://github.com/OpenGenus/cosmos.git
microsoft/AirSim,12940,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim.git
MarlinFirmware/Marlin,12872,https://github.com/MarlinFirmware/Marlin,https://github.com/MarlinFirmware/Marlin.git
keepassxreboot/keepassxc,12661,https://github.com/keepassxreboot/keepassxc,https://github.com/keepassxreboot/keepassxc.git
CoatiSoftware/Sourcetrail,12572,https://github.com/CoatiSoftware/Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail.git
WerWolv/ImHex,12521,https://github.com/WerWolv/ImHex,https://github.com/WerWolv/ImHex.git
arangodb/arangodb,12212,https://github.com/arangodb/arangodb,https://github.com/arangodb/arangodb.git
Tencent/rapidjson,11914,https://github.com/Tencent/rapidjson,https://github.com/Tencent/rapidjson.git
EOSIO/eos,11341,https://github.com/EOSIO/eos,https://github.com/EOSIO/eos.git
bkaradzic/bgfx,11293,https://github.com/bkaradzic/bgfx,https://github.com/bkaradzic/bgfx.git
apple/foundationdb,11210,https://github.com/apple/foundationdb,https://github.com/apple/foundationdb.git
rizinorg/cutter,11173,https://github.com/rizinorg/cutter,https://github.com/rizinorg/cutter.git
kyleneideck/BackgroundMusic,11226,https://github.com/kyleneideck/BackgroundMusic,https://github.com/kyleneideck/BackgroundMusic.git
FreeCAD/FreeCAD,11092,https://github.com/FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD.git
davisking/dlib,11059,https://github.com/davisking/dlib,https://github.com/davisking/dlib.git
RPCS3/rpcs3,10942,https://github.com/RPCS3/rpcs3,https://github.com/RPCS3/rpcs3.git
facebook/watchman,10793,https://github.com/facebook/watchman,https://github.com/facebook/watchman.git
apple/turicreate,10658,https://github.com/apple/turicreate,https://github.com/apple/turicreate.git
OpenRCT2/OpenRCT2,10381,https://github.com/OpenRCT2/OpenRCT2,https://github.com/OpenRCT2/OpenRCT2.git
openalpr/openalpr,10391,https://github.com/openalpr/openalpr,https://github.com/openalpr/openalpr.git
