full name,star number,,git url
openharmony/docs,4779,,https://gitee.com/openharmony/docs.git
openharmony/kernel_liteos_a,1888,,https://gitee.com/openharmony/kernel_liteos_a.git
openharmony/arkui_ace_engine_lite,739,,https://gitee.com/openharmony/arkui_ace_engine_lite.git
openharmony/kernel_liteos_m,537,,https://gitee.com/openharmony/kernel_liteos_m.git
openharmony/community,448,,https://gitee.com/openharmony/community.git
openharmony/communication_softbus_lite,372,,https://gitee.com/openharmony/communication_softbus_lite.git
openharmony/applications_app_samples,348,,https://gitee.com/openharmony/applications_app_samples.git
openharmony/codelabs,296,,https://gitee.com/openharmony/codelabs.git
openharmony/systemabilitymgr_samgr_lite,250,,https://gitee.com/openharmony/systemabilitymgr_samgr_lite.git
openharmony/xts_acts,213,,https://gitee.com/openharmony/xts_acts.git
openharmony/drivers_hdf_core,183,,https://gitee.com/openharmony/drivers_hdf_core.git
openharmony/manifest,180,,https://gitee.com/openharmony/manifest.git
openharmony/communication_dsoftbus,179,,https://gitee.com/openharmony/communication_dsoftbus.git
openharmony/arkui_ace_engine,164,,https://gitee.com/openharmony/arkui_ace_engine.git
openharmony/device_hisilicon_hispark_pegasus,148,,https://gitee.com/openharmony/device_hisilicon_hispark_pegasus.git
openharmony/device_qemu,143,,https://gitee.com/openharmony/device_qemu.git
openharmony/build_lite,131,,https://gitee.com/openharmony/build_lite.git
openharmony/graphic_surface,123,,https://gitee.com/openharmony/graphic_surface.git
openharmony/graphic_ui,122,,https://gitee.com/openharmony/graphic_ui.git
openharmony/multimedia_audio_lite,121,,https://gitee.com/openharmony/multimedia_audio_lite.git
openharmony/security_huks,120,,https://gitee.com/openharmony/security_huks.git
openharmony/xts_tools,108,,https://gitee.com/openharmony/xts_tools.git
openharmony/drivers_liteos,107,,https://gitee.com/openharmony/drivers_liteos.git
openharmony/commonlibrary_utils_lite,105,,https://gitee.com/openharmony/commonlibrary_utils_lite.git
openharmony/test_xdevice,103,,https://gitee.com/openharmony/test_xdevice.git
openharmony/vendor_huawei_hdf,101,,https://gitee.com/openharmony/vendor_huawei_hdf.git
openharmony/test_developertest,98,,https://gitee.com/openharmony/test_developertest.git
openharmony/ai_engine,97,,https://gitee.com/openharmony/ai_engine.git
openharmony/device_hisilicon_drivers,95,,https://gitee.com/openharmony/device_hisilicon_drivers.git
openharmony/applications_sample_camera,93,,https://gitee.com/openharmony/applications_sample_camera.git
openharmony/communication_ipc_lite,89,,https://gitee.com/openharmony/communication_ipc_lite.git
openharmony/security_appverify,88,,https://gitee.com/openharmony/security_appverify.git
openharmony/security,87,,https://gitee.com/openharmony/security.git
openharmony/ability_dmsfwk_lite,86,,https://gitee.com/openharmony/ability_dmsfwk_lite.git
openharmony/bundlemanager_bundle_framework_lite,86,,https://gitee.com/openharmony/bundlemanager_bundle_framework_lite.git
openharmony/multimedia_media_lite,86,,https://gitee.com/openharmony/multimedia_media_lite.git
openharmony/vendor_hisilicon,86,,https://gitee.com/openharmony/vendor_hisilicon.git
openharmony/ability_ability_lite,85,,https://gitee.com/openharmony/ability_ability_lite.git
openharmony/device_hisilicon_hardware,85,,https://gitee.com/openharmony/device_hisilicon_hardware.git
openharmony/multimedia_camera_lite,85,,https://gitee.com/openharmony/multimedia_camera_lite.git
openharmony/prebuilts_lite_sysroot,85,,https://gitee.com/openharmony/prebuilts_lite_sysroot.git
openharmony/security_device_auth,85,,https://gitee.com/openharmony/security_device_auth.git
openharmony/device_hisilicon_hispark_taurus,82,,https://gitee.com/openharmony/device_hisilicon_hispark_taurus.git
openharmony/graphic_utils,82,,https://gitee.com/openharmony/graphic_utils.git
openharmony/device_hisilicon_hispark_aries,81,,https://gitee.com/openharmony/device_hisilicon_hispark_aries.git
openharmony/hiviewdfx_hilog_lite,81,,https://gitee.com/openharmony/hiviewdfx_hilog_lite.git
openharmony/third_party_musl,78,,https://gitee.com/openharmony/third_party_musl.git
openharmony/startup_init_lite,76,,https://gitee.com/openharmony/startup_init_lite.git
openharmony/device_hisilicon_modules,75,,https://gitee.com/openharmony/device_hisilicon_modules.git
openharmony/third_party_jerryscript,75,,https://gitee.com/openharmony/third_party_jerryscript.git
openharmony/third_party_lwip,74,,https://gitee.com/openharmony/third_party_lwip.git
openharmony/applications_sample_wifi_iot,73,,https://gitee.com/openharmony/applications_sample_wifi_iot.git
openharmony/hiviewdfx_hievent_lite,72,,https://gitee.com/openharmony/hiviewdfx_hievent_lite.git
openharmony/hiviewdfx_hiview_lite,72,,https://gitee.com/openharmony/hiviewdfx_hiview_lite.git
openharmony/third_party_NuttX,72,,https://gitee.com/openharmony/third_party_NuttX.git
openharmony/third_party_openssl,72,,https://gitee.com/openharmony/third_party_openssl.git
openharmony/global_resource_management_lite,70,,https://gitee.com/openharmony/global_resource_management_lite.git
openharmony/arkcompiler_ets_runtime,69,,https://gitee.com/openharmony/arkcompiler_ets_runtime.git
openharmony/multimedia_utils_lite,69,,https://gitee.com/openharmony/multimedia_utils_lite.git
openharmony/startup_appspawn_lite,69,,https://gitee.com/openharmony/startup_appspawn_lite.git
