project name,stars,github url,clone url
iluwatar/java-design-patterns,74240,https://github.com/iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns.git
spring-projects/spring-boot,60550,https://github.com/spring-projects/spring-boot,https://github.com/spring-projects/spring-boot.git
macrozheng/mall,57339,https://github.com/macrozheng/mall.git,
ReactiveX/RxJava,45937,https://github.com/ReactiveX/RxJava,https://github.com/ReactiveX/RxJava.git
google/guava,44163,https://github.com/google/guava,https://github.com/google/guava.git
PhilJay/MPAndroidChart,34928,https://github.com/PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart.git
airbnb/lottie-android,32635,https://github.com/airbnb/lottie-android,https://github.com/airbnb/lottie-android.git
bumptech/glide,32451,https://github.com/bumptech/glide,https://github.com/bumptech/glide.git
Blankj/AndroidUtilCode,30653,https://github.com/Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode.git
skylot/jadx,29677,https://github.com/skylot/jadx,https://github.com/skylot/jadx.git
zxing/zxing,29378,https://github.com/zxing/zxing,https://github.com/zxing/zxing.git
netty/netty,28936,https://github.com/netty/netty,https://github.com/netty/netty.git
alibaba/arthas,28827,https://github.com/alibaba/arthas,https://github.com/alibaba/arthas.git
crossoverJie/JCSprout,26652,https://github.com/crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout.git
apolloconfig/apollo,26578,https://github.com/apolloconfig/apollo,https://github.com/apolloconfig/apollo.git
dbeaver/dbeaver,25599,https://github.com/dbeaver/dbeaver,https://github.com/dbeaver/dbeaver.git
alibaba/druid,25337,https://github.com/alibaba/druid.git,
xkcoding/spring-boot-demo,25254,https://github.com/xkcoding/spring-boot-demo.git,
qiurunze123/miaosha,24328,https://github.com/qiurunze123/miaosha.git,
alibaba/fastjson,24239,https://github.com/alibaba/fastjson,https://github.com/alibaba/fastjson.git
greenrobot/EventBus,23904,https://github.com/greenrobot/EventBus,https://github.com/greenrobot/EventBus.git
lenve/vhr,23678,https://github.com/lenve/vhr.git,
scwang90/SmartRefreshLayout,23440,https://github.com/scwang90/SmartRefreshLayout.git,
SeleniumHQ/selenium,23164,https://github.com/SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium.git
wuyouzhuguli/SpringAll,23200,https://github.com/wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll.git
alibaba/easyexcel,23091,https://github.com/alibaba/easyexcel,https://github.com/alibaba/easyexcel.git
CymChad/BaseRecyclerViewAdapterHelper,22747,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper.git
alibaba/canal,22616,https://github.com/alibaba/canal,https://github.com/alibaba/canal.git
Netflix/Hystrix,22536,https://github.com/Netflix/Hystrix,https://github.com/Netflix/Hystrix.git
dromara/hutool,22372,https://github.com/dromara/hutool,https://github.com/dromara/hutool.git
signalapp/Signal-Android,22226,https://github.com/signalapp/Signal-Android,https://github.com/signalapp/Signal-Android.git
alibaba/nacos,22007,https://github.com/alibaba/nacos,https://github.com/alibaba/nacos.git
halo-dev/halo,21939,https://github.com/halo-dev/halo.git,
alibaba/spring-cloud-alibaba,21953,https://github.com/alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba.git
seata/seata,21912,https://github.com/seata/seata,https://github.com/seata/seata.git
xuxueli/xxl-job,21143,https://github.com/xuxueli/xxl-job.git,
libgdx/libgdx,19839,https://github.com/libgdx/libgdx,https://github.com/libgdx/libgdx.git
DrKLO/Telegram,19607,https://github.com/DrKLO/Telegram,https://github.com/DrKLO/Telegram.git
google/ExoPlayer,19175,https://github.com/google/ExoPlayer,https://github.com/google/ExoPlayer.git
alibaba/Sentinel,18850,https://github.com/alibaba/Sentinel,https://github.com/alibaba/Sentinel.git
redisson/redisson,18723,https://github.com/redisson/redisson,https://github.com/redisson/redisson.git
jenkinsci/jenkins,18692,https://github.com/jenkinsci/jenkins,https://github.com/jenkinsci/jenkins.git
didi/DoraemonKit,18607,https://github.com/didi/DoraemonKit.git,
bazelbuild/bazel,18424,https://github.com/bazelbuild/bazel,https://github.com/bazelbuild/bazel.git
elunez/eladmin,17894,https://github.com/elunez/eladmin.git,
CarGuo/GSYVideoPlayer,17335,https://github.com/CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer.git
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,17038,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git
oracle/graal,16844,https://github.com/oracle/graal,https://github.com/oracle/graal.git
nostra13/Android-Universal-Image-Loader,16819,https://github.com/nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader.git
facebook/fresco,16769,https://github.com/facebook/fresco,https://github.com/facebook/fresco.git
brettwooldridge/HikariCP,16631,https://github.com/brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP.git
dianping/cat,16569,https://github.com/Tencent/tinker,https://github.com/Tencent/tinker.git
shuzheng/zheng,16250,https://github.com/shuzheng/zheng.git,
openzipkin/zipkin,15280,https://github.com/openzipkin/zipkin,https://github.com/openzipkin/zipkin.git
JeffLi1993/springboot-learning-example,14800,https://github.com/JeffLi1993/springboot-learning-example.git,
LMAX-Exchange/disruptor,14710,https://github.com/LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor.git
Anuken/Mindustry,14363,https://github.com/Anuken/Mindustry,https://github.com/Anuken/Mindustry.git
iBotPeaches/Apktool,13796,https://github.com/iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool.git
alibaba/ARouter,13753,https://github.com/alibaba/ARouter,https://github.com/alibaba/ARouter.git
Tencent/QMUI_Android,13544,https://github.com/Tencent/QMUI_Android.git,
material-components/material-components-android,13529,https://github.com/material-components/material-components-android,https://github.com/material-components/material-components-android.git
YunaiV/SpringBoot-Labs,13593,https://github.com/YunaiV/SpringBoot-Labs,https://github.com/YunaiV/SpringBoot-Labs.git
prestodb/presto,13343,https://github.com/prestodb/presto,https://github.com/prestodb/presto.git
justauth/JustAuth,13237,https://github.com/justauth/JustAuth,https://github.com/justauth/JustAuth.git
android-hacker/VirtualXposed,13080,https://github.com/android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed.git
Konloch/bytecode-viewer,12886,https://github.com/Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer.git
eclipse-vertx/vert.x,12844,https://github.com/eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x.git
mockito/mockito,12778,https://github.com/mockito/mockito,https://github.com/mockito/mockito.git
arduino/Arduino,12736,https://github.com/arduino/Arduino,https://github.com/arduino/Arduino.git
openjdk/jdk,12702,https://github.com/openjdk/jdk,https://github.com/openjdk/jdk.git
baomidou/mybatis-plus,12689,https://github.com/baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus.git
greenrobot/greenDAO,12518,https://github.com/greenrobot/greenDAO,https://github.com/greenrobot/greenDAO.git
facebook/stetho,12477,https://github.com/facebook/stetho,https://github.com/facebook/stetho.git
eclipse/deeplearning4j,12428,https://github.com/eclipse/deeplearning4j,https://github.com/eclipse/deeplearning4j.git
williamfiset/Algorithms,12392,https://github.com/williamfiset/Algorithms,https://github.com/williamfiset/Algorithms.git
pinpoint-apm/pinpoint,12112,https://github.com/pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint.git
sqshq/piggymetrics,11480,https://github.com/sqshq/piggymetrics,https://github.com/sqshq/piggymetrics.git
LuckSiege/PictureSelector,11388,https://github.com/LuckSiege/PictureSelector.git,
Netflix/eureka,11195,https://github.com/Netflix/eureka,https://github.com/Netflix/eureka.git
androidannotations/androidannotations,11168,https://github.com/androidannotations/androidannotations,https://github.com/androidannotations/androidannotations.git
projectlombok/lombok,11064,https://github.com/projectlombok/lombok,https://github.com/projectlombok/lombok.git
pagehelper/Mybatis-PageHelper,11040,https://github.com/pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper.git
java-decompiler/jd-gui,11043,https://github.com/java-decompiler/jd-gui,https://github.com/java-decompiler/jd-gui.git
google/guice,10881,https://github.com/google/guice,https://github.com/google/guice.git
alibaba/vlayout,10833,https://github.com/alibaba/vlayout,https://github.com/alibaba/vlayout.git
apache/pulsar,10626,https://github.com/apache/pulsar,https://github.com/apache/pulsar.git
