project name,stars,github url,clone url
ytdl-org/youtube-dl,108543,https://github.com/ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl.git
tensorflow/models,73317,https://github.com/tensorflow/models,https://github.com/tensorflow/models.git
django/django,63447,https://github.com/django/django,https://github.com/django/django.git
pallets/flask,58578,https://github.com/pallets/flask,https://github.com/pallets/flask.git
keras-team/keras,54927,https://github.com/keras-team/keras,https://github.com/keras-team/keras.git
ansible/ansible,52793,https://github.com/ansible/ansible,https://github.com/ansible/ansible.git
home-assistant/core,51687,https://github.com/home-assistant/core,https://github.com/home-assistant/core.git
scikit-learn/scikit-learn,49674,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn.git
tiangolo/fastapi,43938,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi.git
3b1b/manim,43778,https://github.com/3b1b/manim,https://github.com/3b1b/manim.git
soimort/you-get,43600,https://github.com/soimort/you-get,https://github.com/soimort/you-get.git
scrapy/scrapy,43265,https://github.com/scrapy/scrapy,https://github.com/scrapy/scrapy.git
deepfakes/faceswap,40775,https://github.com/deepfakes/faceswap,https://github.com/deepfakes/faceswap.git
localstack/localstack,39610,https://github.com/localstack/localstack,https://github.com/localstack/localstack.git
Textualize/rich,36514,https://github.com/Textualize/rich,https://github.com/Textualize/rich.git
CorentinJ/Real-Time-Voice-Cloning,34279,https://github.com/CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning.git
commaai/openpilot,33945,https://github.com/commaai/openpilot,https://github.com/commaai/openpilot.git
pandas-dev/pandas,33401,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas.git
iperov/DeepFaceLab,32111,https://github.com/iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab.git
faif/python-patterns,31170,https://github.com/faif/python-patterns,https://github.com/faif/python-patterns.git
XX-net/XX-Net,31150,https://github.com/XX-net/XX-Net,https://github.com/XX-net/XX-Net.git
getsentry/sentry,30612,https://github.com/getsentry/sentry,https://github.com/getsentry/sentry.git
testerSunshine/12306,30578,https://github.com/testerSunshine/12306.git,
certbot/certbot,28821,https://github.com/certbot/certbot,https://github.com/certbot/certbot.git
fxsjy/jieba,28294,https://github.com/fxsjy/jieba,https://github.com/fxsjy/jieba.git
openai/gym,27204,https://github.com/openai/gym,https://github.com/openai/gym.git
psf/black,26945,https://github.com/psf/black,https://github.com/psf/black.git
mitmproxy/mitmproxy,26681,https://github.com/mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy.git
hankcs/HanLP,25585,https://github.com/hankcs/HanLP,https://github.com/hankcs/HanLP.git
apache/airflow,25465,https://github.com/apache/airflow,https://github.com/apache/airflow.git
ycm-core/YouCompleteMe,23870,https://github.com/ycm-core/YouCompleteMe,https://github.com/ycm-core/YouCompleteMe.git
sqlmapproject/sqlmap,23152,https://github.com/sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap.git
pypa/pipenv,22880,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv.git
yt-dlp/yt-dlp,22855,https://github.com/yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp.git
google/python-fire,22163,https://github.com/google/python-fire,https://github.com/google/python-fire.git
tqdm/tqdm,21702,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm.git
eriklindernoren/ML-From-Scratch,20983,https://github.com/eriklindernoren/ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch.git
getredash/redash,20873,https://github.com/getredash/redash,https://github.com/getredash/redash.git
keon/algorithms,20636,https://github.com/keon/algorithms,https://github.com/keon/algorithms.git
babysor/MockingBird,20558,https://github.com/babysor/MockingBird,https://github.com/babysor/MockingBird.git
tornadoweb/tornado,20496,https://github.com/tornadoweb/tornado,https://github.com/tornadoweb/tornado.git
facebookresearch/detectron2,20515,https://github.com/facebookresearch/detectron2,https://github.com/facebookresearch/detectron2.git
nicolargo/glances,20272,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances.git
numpy/numpy,20135,https://github.com/numpy/numpy,https://github.com/numpy/numpy.git
ray-project/ray,19926,https://github.com/ray-project/ray,https://github.com/ray-project/ray.git
PaddlePaddle/PaddleOCR,19879,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR.git
python-poetry/poetry,19238,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry.git
open-mmlab/mmdetection,19128,https://github.com/open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection.git
locustio/locust,18629,https://github.com/locustio/locust,https://github.com/locustio/locust.git
python-telegram-bot/python-telegram-bot,18210,https://github.com/python-telegram-bot/python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot.git
pytorch/examples,18182,https://github.com/pytorch/examples,https://github.com/pytorch/examples.git
PyTorchLightning/pytorch-lightning,18002,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning.git
magenta/magenta,17537,https://github.com/magenta/magenta,https://github.com/magenta/magenta.git
google/jax,17140,https://github.com/google/jax,https://github.com/google/jax.git
freqtrade/freqtrade,17047,https://github.com/freqtrade/freqtrade,https://github.com/freqtrade/freqtrade.git
pytorch/fairseq,16642,https://github.com/pytorch/fairseq,https://github.com/pytorch/fairseq.git
cookiecutter/cookiecutter,16648,https://github.com/cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter.git
mingrammer/diagrams,16591,https://github.com/mingrammer/diagrams,https://github.com/mingrammer/diagrams.git
gunthercox/ChatterBot,12151,https://github.com/gunthercox/ChatterBot,https://github.com/gunthercox/ChatterBot.git
pyecharts/pyecharts,12182,https://github.com/pyecharts/pyecharts,https://github.com/pyecharts/pyecharts.git
