project name,stars,github url,clone url
freeCodeCamp/freeCodeCamp,351233,https://github.com/freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp.git
vuejs/vue,198526,https://github.com/vuejs/vue,https://github.com/vuejs/vue.git
microsoft/vscode,135243,https://github.com/microsoft/vscode,https://github.com/microsoft/vscode.git
angular/angular,83149,https://github.com/angular/angular,https://github.com/angular/angular.git
coder/code-server,55981,https://github.com/coder/code-server,https://github.com/coder/code-server.git
apache/echarts,52089,https://github.com/apache/echarts,https://github.com/apache/echarts.git
grafana/grafana,50368,https://github.com/grafana/grafana,https://github.com/grafana/grafana.git
nestjs/nest,49373,https://github.com/nestjs/nest,https://github.com/nestjs/nest.git
apache/superset,47605,https://github.com/apache/superset,https://github.com/apache/superset.git
vitejs/vite,45987,https://github.com/vitejs/vite,https://github.com/vitejs/vite.git
babel/babel,41213,https://github.com/babel/babel,https://github.com/babel/babel.git
microsoft/playwright,40937,https://github.com/microsoft/playwright,https://github.com/microsoft/playwright.git
DefinitelyTyped/DefinitelyTyped,40288,https://github.com/DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped.git
facebook/jest,39815,https://github.com/facebook/jest,https://github.com/facebook/jest.git
vercel/hyper,38988,https://github.com/vercel/hyper,https://github.com/vercel/hyper.git
styled-components/styled-components,37142,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components.git
pixijs/pixijs,37125,https://github.com/pixijs/pixijs,https://github.com/pixijs/pixijs.git
facebook/docusaurus,36728,https://github.com/facebook/docusaurus,https://github.com/facebook/docusaurus.git
Eugeny/tabby,36545,https://github.com/Eugeny/tabby,https://github.com/Eugeny/tabby.git
supabase/supabase,36412,https://github.com/supabase/supabase,https://github.com/supabase/supabase.git
vuetifyjs/vuetify,34996,https://github.com/vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify.git
RocketChat/Rocket.Chat,32766,https://github.com/RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat.git
ant-design/ant-design-pro,32622,https://github.com/ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro.git
immutable-js/immutable-js,32165,https://github.com/immutable-js/immutable-js,https://github.com/immutable-js/immutable-js.git
vuejs/core,31894,https://github.com/vuejs/core,https://github.com/vuejs/core.git
NervJS/taro,31419,https://github.com/NervJS/taro,https://github.com/NervJS/taro.git
nativefier/nativefier,31243,https://github.com/nativefier/nativefier,https://github.com/nativefier/nativefier.git
streamich/react-use,31165,https://github.com/streamich/react-use,https://github.com/streamich/react-use.git
react-hook-form/react-hook-form,29900,https://github.com/react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form.git
date-fns/date-fns,29455,https://github.com/date-fns/date-fns,https://github.com/date-fns/date-fns.git
nocodb/nocodb,29286,https://github.com/nocodb/nocodb,https://github.com/nocodb/nocodb.git
TanStack/query,29173,https://github.com/TanStack/query,https://github.com/TanStack/query.git
typeorm/typeorm,29029,https://github.com/typeorm/typeorm,https://github.com/typeorm/typeorm.git
chakra-ui/chakra-ui,28103,https://github.com/chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui.git
ReactiveX/rxjs,27497,https://github.com/ReactiveX/rxjs,https://github.com/ReactiveX/rxjs.git
niklasvh/html2canvas,26467,https://github.com/niklasvh/html2canvas,https://github.com/niklasvh/html2canvas.git
angular/angular-cli,25567,https://github.com/angular/angular-cli,https://github.com/angular/angular-cli.git
mobxjs/mobx,25555,https://github.com/mobxjs/mobx,https://github.com/mobxjs/mobx.git
ianstormtaylor/slate,25036,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate.git
JedWatson/react-select,24959,https://github.com/JedWatson/react-select,https://github.com/JedWatson/react-select.git
prisma/prisma,24815,https://github.com/prisma/prisma,https://github.com/prisma/prisma.git
n8n-io/n8n,23919,https://github.com/n8n-io/n8n,https://github.com/n8n-io/n8n.git
akveo/ngx-admin,23839,https://github.com/akveo/ngx-admin,https://github.com/akveo/ngx-admin.git
pmndrs/react-spring,23779,https://github.com/pmndrs/react-spring,https://github.com/pmndrs/react-spring.git
balena-io/etcher,23531,https://github.com/balena-io/etcher,https://github.com/balena-io/etcher.git
angular/components,22882,https://github.com/angular/components,https://github.com/angular/components.git
doczjs/docz,22830,https://github.com/doczjs/docz,https://github.com/doczjs/docz.git
vuejs/devtools,22757,https://github.com/vuejs/devtools,https://github.com/vuejs/devtools.git
type-challenges/type-challenges,22581,https://github.com/type-challenges/type-challenges,https://github.com/type-challenges/type-challenges.git
floating-ui/floating-ui,22476,https://github.com/floating-ui/floating-ui,https://github.com/floating-ui/floating-ui.git
NativeScript/NativeScript,21473,https://github.com/NativeScript/NativeScript,https://github.com/NativeScript/NativeScript.git
statelyai/xstate,20982,https://github.com/statelyai/xstate,https://github.com/statelyai/xstate.git
neoclide/coc.nvim,20711,https://github.com/neoclide/coc.nvim,https://github.com/neoclide/coc.nvim.git
appsmithorg/appsmith,20239,https://github.com/appsmithorg/appsmith,https://github.com/appsmithorg/appsmith.git
vant-ui/vant,20012,https://github.com/vant-ui/vant,https://github.com/vant-ui/vant.git
codex-team/editor.js,19796,https://github.com/codex-team/editor.js,https://github.com/codex-team/editor.js.git
withfig/autocomplete,19681,https://github.com/withfig/autocomplete,https://github.com/withfig/autocomplete.git
railsware/upterm,19394,https://github.com/railsware/upterm,https://github.com/railsware/upterm.git
lensapp/lens,19224,https://github.com/lensapp/lens,https://github.com/lensapp/lens.git
palantir/blueprint,19191,https://github.com/palantir/blueprint,https://github.com/palantir/blueprint.git
graphql/graphql-js,18964,https://github.com/graphql/graphql-js,https://github.com/graphql/graphql-js.git
TanStack/table,18876,https://github.com/TanStack/table,https://github.com/TanStack/table.git
Redocly/redoc,18205,https://github.com/Redocly/redoc,https://github.com/Redocly/redoc.git
GeekyAnts/NativeBase,18122,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase.git
BabylonJS/Babylon.js,18079,https://github.com/BabylonJS/Babylon.js,https://github.com/BabylonJS/Babylon.js.git
Redocly/redoc,18205,https://github.com/Redocly/redoc,https://github.com/Redocly/redoc.git
GeekyAnts/NativeBase,18122,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase.git
BabylonJS/Babylon.js,18079,https://github.com/BabylonJS/Babylon.js,https://github.com/BabylonJS/Babylon.js.git
react-dnd/react-dnd,18034,https://github.com/react-dnd/react-dnd,https://github.com/react-dnd/react-dnd.git
apollographql/apollo-client,17987,https://github.com/apollographql/apollo-client,https://github.com/apollographql/apollo-client.git
Molunerfinn/PicGo,17829,https://github.com/Molunerfinn/PicGo,https://github.com/Molunerfinn/PicGo.git
pubkey/rxdb,17789,https://github.com/pubkey/rxdb,https://github.com/pubkey/rxdb.git
oldj/SwitchHosts,17741,https://github.com/oldj/SwitchHosts,https://github.com/oldj/SwitchHosts.git
backstage/backstage,17593,https://github.com/backstage/backstage,https://github.com/backstage/backstage.git
alibaba/ice,17276,https://github.com/alibaba/ice.git,
fingerprintjs/fingerprintjs,17242,https://github.com/fingerprintjs/fingerprintjs,https://github.com/fingerprintjs/fingerprintjs.git
eclipse-theia/theia,17212,https://github.com/eclipse-theia/theia,https://github.com/eclipse-theia/theia.git
directus/directus,17204,https://github.com/directus/directus,https://github.com/directus/directus.git
GoogleChromeLabs/squoosh,17158,https://github.com/GoogleChromeLabs/squoosh,https://github.com/GoogleChromeLabs/squoosh.git
tensorflow/tfjs,16478,https://github.com/tensorflow/tfjs,https://github.com/tensorflow/tfjs.git
material-components/material-components-web,16321,https://github.com/material-components/material-components-web,https://github.com/material-components/material-components-web.git
outline/outline,16230,https://github.com/outline/outline,https://github.com/outline/outline.git
tailwindlabs/headlessui,16110,https://github.com/tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui.git
ueberdosis/tiptap,15965,https://github.com/ueberdosis/tiptap,https://github.com/ueberdosis/tiptap.git
ustbhuangyi/better-scroll,15683,https://github.com/ustbhuangyi/better-scroll,https://github.com/ustbhuangyi/better-scroll.git
teambit/bit,15606,https://github.com/teambit/bit,https://github.com/teambit/bit.git
airbnb/visx,15602,https://github.com/airbnb/visx,https://github.com/airbnb/visx.git
wulkano/Kap,15467,https://github.com/wulkano/Kap,https://github.com/wulkano/Kap.git
framer/motion,15465,https://github.com/framer/motion,https://github.com/framer/motion.git
flatpickr/flatpickr,15100,https://github.com/flatpickr/flatpickr,https://github.com/flatpickr/flatpickr.git
airbnb/react-sketchapp,14913,https://github.com/airbnb/react-sketchapp,https://github.com/airbnb/react-sketchapp.git
CopyTranslator/CopyTranslator,14153,https://github.com/CopyTranslator/CopyTranslator,https://github.com/CopyTranslator/CopyTranslator.git
sass/sass,14091,https://github.com/sass/sass,https://github.com/sass/sass.git
infinitered/ignite,14091,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite.git
feathersjs/feathers,14072,https://github.com/feathersjs/feathers,https://github.com/feathersjs/feathers.git
justadudewhohacks/face-api.js,14053,https://github.com/justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js.git
nrwl/nx,14030,https://github.com/nrwl/nx,https://github.com/nrwl/nx.git
the1812/Bilibili-Evolved,13985,https://github.com/the1812/Bilibili-Evolved.git,
graphql/graphiql,13868,https://github.com/graphql/graphiql,https://github.com/graphql/graphiql.git
alan2207/bulletproof-react,13603,https://github.com/alan2207/bulletproof-react,https://github.com/alan2207/bulletproof-react.git
xtermjs/xterm.js,13497,https://github.com/xtermjs/xterm.js,https://github.com/xtermjs/xterm.js.git
trufflesuite/truffle,13414,https://github.com/trufflesuite/truffle,https://github.com/trufflesuite/truffle.git
medusajs/medusa,13312,https://github.com/medusajs/medusa,https://github.com/medusajs/medusa.git
wechaty/wechaty,13205,https://github.com/wechaty/wechaty,https://github.com/wechaty/wechaty.git
reduxjs/redux-devtools,12964,https://github.com/reduxjs/redux-devtools,https://github.com/reduxjs/redux-devtools.git
BrainJS/brain.js,12957,https://github.com/BrainJS/brain.js,https://github.com/BrainJS/brain.js.git
chartist-js/chartist,12859,https://github.com/chartist-js/chartist,https://github.com/chartist-js/chartist.git
umijs/umi,12847,https://github.com/umijs/umi.git,
adonisjs/core,12831,https://github.com/adonisjs/core,https://github.com/adonisjs/core.git
apollographql/apollo-server,12809,https://github.com/apollographql/apollo-server,https://github.com/apollographql/apollo-server.git
signalapp/Signal-Desktop,12611,https://github.com/signalapp/Signal-Desktop,https://github.com/signalapp/Signal-Desktop.git
foambubble/foam,12440,https://github.com/foambubble/foam,https://github.com/foambubble/foam.git
jupyterlab/jupyterlab,12247,https://github.com/jupyterlab/jupyterlab,https://github.com/jupyterlab/jupyterlab.git
lit/lit,12184,https://github.com/lit/lit,https://github.com/lit/lit.git
typescript-eslint/typescript-eslint,12002,https://github.com/typescript-eslint/typescript-eslint,https://github.com/typescript-eslint/typescript-eslint.git
