name,stars,html url,clone url,time (s),memory (GB),KLoC
micropython/micropython,17095,https://github.com/micropython/micropython,https://github.com/micropython/micropython.git,10.314,1.676,291.590
timescale/timescaledb,15397,https://github.com/timescale/timescaledb,https://github.com/timescale/timescaledb.git,8.341,1.318,106.214
raysan5/raylib,14455,https://github.com/raysan5/raylib,https://github.com/raysan5/raylib.git,15.736,2.492,240.483
imbushuo/mac-precision-touchpad,7700,https://github.com/imbushuo/mac-precision-touchpad,https://github.com/imbushuo/mac-precision-touchpad.git,0.806,0.146,10.655
jerryscript-project/jerryscript,6656,https://github.com/jerryscript-project/jerryscript,https://github.com/jerryscript-project/jerryscript.git,5.813,0.742,122.048
wasm3/wasm3,6273,https://github.com/wasm3/wasm3,https://github.com/wasm3/wasm3.git,3.094,0.750,22.676
ithewei/libhv,5747,https://github.com/ithewei/libhv,https://github.com/ithewei/libhv.git,4.268,0.573,56.357
littlefs-project/littlefs,4138,https://github.com/littlefs-project/littlefs,https://github.com/littlefs-project/littlefs.git,1.347,0.257,10.184
bytecodealliance/wasm-micro-runtime,3956,https://github.com/bytecodealliance/wasm-micro-runtime,https://github.com/bytecodealliance/wasm-micro-runtime.git,9.803,1.592,156.919
hathach/tinyusb,3933,https://github.com/hathach/tinyusb,https://github.com/hathach/tinyusb.git,6.550,1.958,135.002
stlink-org/stlink,3870,https://github.com/stlink-org/stlink,https://github.com/stlink-org/stlink.git,1.614,0.310,12.226
nanopb/nanopb,3677,https://github.com/nanopb/nanopb,https://github.com/nanopb/nanopb.git,1.753,0.272,12.550
gozfree/gear-lib,2724,https://github.com/gozfree/gear-lib,https://github.com/gozfree/gear-lib.git,7.572,1.386,103.185
containers/crun,2464,https://github.com/containers/crun,https://github.com/containers/crun.git,2.895,0.361,25.804
cesanta/mongoose-os,2413,https://github.com/cesanta/mongoose-os,https://github.com/cesanta/mongoose-os.git,2.986,0.390,27.967
InfiniTimeOrg/InfiniTime,2286,https://github.com/InfiniTimeOrg/InfiniTime,https://github.com/InfiniTimeOrg/InfiniTime.git,11.149,2.265,185.621
dgiese/dustcloud,2159,https://github.com/dgiese/dustcloud,https://github.com/dgiese/dustcloud.git,1.300,0.216,6.994
ARMmbed/DAPLink,1920,https://github.com/ARMmbed/DAPLink,https://github.com/ARMmbed/DAPLink.git,10.244,3.381,279.272
symisc/unqlite,1913,https://github.com/symisc/unqlite,https://github.com/symisc/unqlite.git,4.385,1.148,84.733
zmkfirmware/zmk,1798,https://github.com/zmkfirmware/zmk,https://github.com/zmkfirmware/zmk.git,1.795,0.390,15.365
greatscottgadgets/ubertooth,1790,https://github.com/greatscottgadgets/ubertooth,https://github.com/greatscottgadgets/ubertooth.git,2.754,0.491,26.909
armink/EasyFlash,1766,https://github.com/armink/EasyFlash,https://github.com/armink/EasyFlash.git,6.960,1.583,95.685
cesanta/mjs,1764,https://github.com/cesanta/mjs,https://github.com/cesanta/mjs.git,4.166,0.751,37.599
EHfive/pulseaudio-modules-bt,1746,https://github.com/EHfive/pulseaudio-modules-bt,https://github.com/EHfive/pulseaudio-modules-bt.git,1.379,0.247,8.709
azure-rtos/threadx,1736,https://github.com/azure-rtos/threadx,https://github.com/azure-rtos/threadx.git,16.414,3.541,226.949
eclipse/paho.mqtt.c,1680,https://github.com/eclipse/paho.mqtt.c,https://github.com/eclipse/paho.mqtt.c.git,3.502,0.477,45.072
symisc/sod,1667,https://github.com/symisc/sod,https://github.com/symisc/sod.git,1.893,0.384,20.427
positive-security/send-my,1641,https://github.com/positive-security/send-my,https://github.com/positive-security/send-my.git,0.623,0.147,1.985
sqfmi/Watchy,1624,https://github.com/sqfmi/Watchy,https://github.com/sqfmi/Watchy.git,1.370,0.271,14.045
rbaron/b-parasite,1546,https://github.com/rbaron/b-parasite,https://github.com/rbaron/b-parasite.git,0.611,0.114,1.428
cesanta/elk,1518,https://github.com/cesanta/elk,https://github.com/cesanta/elk.git,1.583,0.300,8.894
tio/tio,1417,https://github.com/tio/tio,https://github.com/tio/tio.git,0.736,0.138,3.325
pellepl/spiffs,1400,https://github.com/pellepl/spiffs,https://github.com/pellepl/spiffs.git,1.643,0.288,10.473
jakkra/ZSWatch,1399,https://github.com/jakkra/ZSWatch,https://github.com/jakkra/ZSWatch.git,1.715,0.355,22.456
Softmotions/ejdb,1390,https://github.com/Softmotions/ejdb,https://github.com/Softmotions/ejdb.git,2.145,0.449,19.573
SpenceKonde/ATTinyCore,1386,https://github.com/SpenceKonde/ATTinyCore,https://github.com/SpenceKonde/ATTinyCore.git,1.898,0.396,35.447
earlephilhower/arduino-pico,1382,https://github.com/earlephilhower/arduino-pico,https://github.com/earlephilhower/arduino-pico.git,4.215,0.628,61.996
armink/FlashDB,1356,https://github.com/armink/FlashDB,https://github.com/armink/FlashDB.git,8.329,3.625,201.674
